Column1,speler_code,team_naam,meting,Staande.lengte,Zittende.lengte,Beenlengte,Zithoogte,Gewicht,Maturity.Offset,Balance.Beam.6cm,Balance.Beam.4.5cm,Balance.Beam.3cm,Balance.beam.totaal,Zijwaarts.springen.1,Zijwaarts.springen.2,Zijwaarts.springen.totaal,Zijwaarts.verplaatsen.1,Zijwaarts.verplaatsen.2,Zijwaarts.verplaatsen.totaal,Oog.hand.coordinatie.1,Oog.hand.coordinatie.2,Oog.hand.coordinatie.Totaal,X10.meter.sprint.1,X10.meter.sprint.2,X10.meter.sprint.beste,X20.meter.sprint.1,X20.meter.sprint.2,X20.meter.sprint.beste,X30.meter.sprint.1,X30.meter.sprint.2,X30.meter.sprint.beste,CoD.links.1,CoD.links.2,CoD.links.beste,CoD.rechts.1,CoD.rechts.2,CoD.rechts.beste,Vertesprong.1,Vertesprong.2,Vertesprong.beste,club_code,datum,geboortedatum
24,0tPTP,Onder 14,2e meting,160.3,122.8,79.0,81.3,52.8,-0.44,24.0,24.0,7.0,66.0,54.0,51.0,105.0,37.0,30.0,75.0,34.0,36.0,65.0,2.04,1.88,2.23,3.4,2.99,3.91,4.97,4.64,4.47,8.22,8.73,7.7,8.46,8.91,9.17,1.96,1.78,1.99,1X8m4,2015-04-05,2001-05-30
25,0tPTP,Onder 15,1e meting,160.9,124.5,77.9,83.0,52.0,-0.01,27.0,8.0,1.0,44.0,48.0,54.0,103.0,23.0,32.0,58.0,29.0,32.0,65.0,1.99,1.79,1.93,3.15,3.13,3.39,4.53,4.69,4.25,8.61,8.45,8.56,8.33,7.99,8.38,1.95,2.12,2.4,1X8m4,2015-10-05,2001-05-30
26,0tPTP,Onder 15,2e meting,162.3,124.8,79.0,83.3,53.5,0.28,22.0,18.0,17.0,53.0,46.0,46.0,101.0,35.0,45.0,51.0,35.0,33.0,68.0,1.87,2.06,1.97,3.54,3.28,3.24,4.91,4.53,4.78,8.6,7.96,8.43,8.11,8.34,9.14,1.82,1.95,2.15,1X8m4,2016-04-05,2001-05-30
27,0tPTP,Onder 16,1e meting,163.4,126.0,78.9,84.5,52.6,0.65,25.0,22.0,22.0,50.0,59.0,50.0,128.0,19.0,31.0,59.0,26.0,30.0,95.0,1.93,1.94,1.75,2.86,3.09,3.62,4.69,4.57,4.03,7.78,8.28,7.27,8.45,8.04,7.98,2.04,2.5,2.32,1X8m4,2016-10-05,2001-05-30
28,0tPTP,Onder 16,2e meting,163.6,127.1,78.0,85.6,52.1,1.04,24.0,18.0,16.0,58.0,56.0,50.0,144.0,27.0,28.0,58.0,29.0,29.0,79.0,1.96,1.96,1.95,3.22,3.68,3.6,4.79,4.17,4.61,8.46,8.04,8.93,8.46,8.42,9.13,2.04,2.42,2.21,1X8m4,2017-04-05,2001-05-30
29,0tPTP,Onder 17,1e meting,165.6,127.9,79.2,86.4,52.6,1.39,23.0,24.0,8.0,46.0,59.0,59.0,94.0,35.0,27.0,61.0,37.0,38.0,74.0,2.0,1.91,1.89,3.42,3.21,3.18,4.37,4.45,4.26,8.16,8.0,8.4,8.18,9.09,7.8,2.18,1.99,2.14,1X8m4,2017-10-05,2001-05-30
30,0tPTP,Onder 17,2e meting,166.4,128.7,79.2,87.2,52.7,1.74,15.0,16.0,1.0,53.0,54.0,48.0,126.0,37.0,38.0,63.0,40.0,42.0,70.0,1.83,2.06,2.02,3.38,2.94,3.13,4.04,4.12,4.48,7.97,8.32,8.08,8.21,8.25,7.76,1.99,2.13,2.25,1X8m4,2018-04-05,2001-05-30
31,0vyxK,Onder 13,1e meting,176.9,128.3,90.1,86.8,61.6,-0.59,14.0,30.0,10.0,39.0,61.0,57.0,73.0,20.0,29.0,32.0,30.0,31.0,55.0,2.17,1.99,1.98,3.64,3.62,4.1,4.39,4.85,4.79,8.99,8.59,9.66,8.54,8.82,8.59,1.77,1.74,1.81,1X8m4,2013-10-05,2001-09-24
32,0vyxK,Onder 13,2e meting,177.9,130.2,89.2,88.7,65.1,-0.09,22.0,22.0,9.0,36.0,44.0,38.0,79.0,19.0,28.0,40.0,35.0,21.0,66.0,2.02,1.95,2.17,3.46,3.35,3.38,4.79,5.13,5.5,8.67,8.54,9.45,8.94,8.85,7.74,1.58,2.0,2.01,1X8m4,2014-04-05,2001-09-24
33,0vyxK,Onder 14,1e meting,179.2,130.5,90.3,89.0,69.6,0.24,27.0,14.0,17.0,42.0,40.0,56.0,117.0,31.0,24.0,60.0,50.0,30.0,43.0,2.09,1.99,1.94,3.54,4.0,3.31,4.62,4.59,4.51,8.47,8.81,8.13,8.72,8.44,8.91,1.72,2.26,2.03,1X8m4,2014-10-05,2001-09-24
34,0vyxK,Onder 14,2e meting,180.4,131.8,90.1,90.3,69.0,0.63,22.0,14.0,12.0,64.0,50.0,57.0,118.0,26.0,33.0,39.0,38.0,35.0,42.0,2.04,2.02,1.92,3.39,3.75,3.36,4.71,4.8,4.76,8.41,8.6,8.42,8.1,8.38,8.77,1.87,1.73,2.03,1X8m4,2015-04-05,2001-09-24
35,0vyxK,Onder 15,1e meting,181.4,132.4,90.5,90.9,69.1,0.96,21.0,6.0,4.0,45.0,43.0,56.0,115.0,26.0,28.0,63.0,27.0,34.0,56.0,2.01,1.74,1.81,3.34,3.26,3.34,4.42,4.27,4.67,8.97,8.37,8.81,8.35,8.19,8.72,2.12,2.11,1.85,1X8m4,2015-10-05,2001-09-24
36,0vyxK,Onder 15,2e meting,182.6,134.2,89.9,92.7,68.2,1.42,22.0,21.0,23.0,47.0,64.0,60.0,117.0,21.0,32.0,72.0,37.0,38.0,66.0,1.9,1.99,1.94,3.71,3.14,2.97,4.58,4.74,4.69,8.46,8.07,7.05,8.67,9.03,9.54,1.93,2.26,2.19,1X8m4,2016-04-05,2001-09-24
37,0vyxK,Onder 16,1e meting,183.4,135.1,89.8,93.6,68.7,1.81,23.0,15.0,8.0,71.0,52.0,55.0,146.0,34.0,28.0,67.0,26.0,45.0,61.0,1.97,1.91,1.82,3.08,3.24,3.3,4.46,4.35,5.04,7.76,7.75,9.33,8.62,8.42,9.65,1.76,2.23,2.33,1X8m4,2016-10-05,2001-09-24
38,0vyxK,Onder 16,2e meting,184.0,135.4,90.1,93.9,68.5,2.1,21.0,19.0,9.0,72.0,65.0,55.0,123.0,37.0,30.0,57.0,37.0,31.0,79.0,1.99,1.86,1.88,3.13,3.41,2.8,4.84,4.76,4.67,8.06,7.97,7.07,8.03,7.74,8.06,1.99,2.43,1.98,1X8m4,2017-04-05,2001-09-24
39,0vyxK,Onder 17,1e meting,185.5,137.2,89.7,95.7,67.9,2.61,22.0,16.0,14.0,66.0,63.0,66.0,106.0,25.0,31.0,51.0,33.0,40.0,96.0,1.85,1.66,1.87,3.25,3.23,3.26,4.25,4.31,4.48,8.64,7.28,8.4,7.92,7.86,7.15,1.92,1.95,2.27,1X8m4,2017-10-05,2001-09-24
40,0vyxK,Onder 17,2e meting,186.5,138.3,89.7,96.8,69.2,3.05,21.0,22.0,25.0,53.0,53.0,60.0,111.0,36.0,38.0,54.0,32.0,46.0,77.0,2.09,1.84,1.97,3.15,3.02,3.28,4.2,4.07,4.41,8.03,6.71,8.07,8.42,8.53,8.43,2.51,2.34,2.2,1X8m4,2018-04-05,2001-09-24
41,23f5M,Onder 13,1e meting,163.3,122.6,82.2,81.1,49.3,-1.46,20.0,15.0,12.0,53.0,52.0,43.0,91.0,25.0,23.0,54.0,27.0,35.0,60.0,1.9,1.83,1.65,3.29,3.33,4.17,4.6,5.16,4.88,8.6,8.85,7.95,9.46,8.07,8.66,1.81,1.72,1.68,1X8m4,2013-10-05,2001-12-30
42,23f5M,Onder 13,2e meting,164.7,123.8,82.4,82.3,52.8,-1.06,25.0,17.0,16.0,55.0,39.0,53.0,58.0,31.0,28.0,48.0,37.0,37.0,62.0,1.93,2.11,1.69,3.62,3.58,3.54,5.18,5.12,5.27,9.63,8.91,8.07,8.77,8.24,7.92,1.89,1.74,2.17,1X8m4,2014-04-05,2001-12-30
43,23f5M,Onder 14,1e meting,166.2,125.5,82.2,84.0,56.0,-0.6,25.0,12.0,17.0,31.0,48.0,48.0,97.0,33.0,37.0,63.0,21.0,54.0,51.0,2.13,2.01,1.93,3.56,3.32,3.34,4.15,4.64,5.13,8.75,8.88,8.72,7.95,7.7,9.13,1.61,1.97,1.95,1X8m4,2014-10-05,2001-12-30
44,23f5M,Onder 14,2e meting,167.3,125.7,83.0,84.2,55.6,-0.36,17.0,13.0,25.0,50.0,48.0,53.0,106.0,35.0,32.0,75.0,30.0,32.0,85.0,1.97,1.97,2.03,3.46,3.48,3.47,4.82,5.12,5.36,8.91,8.98,7.91,7.73,8.98,8.85,2.04,2.12,2.16,1X8m4,2015-04-05,2001-12-30
45,23f5M,Onder 15,1e meting,167.7,127.5,81.8,86.0,56.7,0.11,21.0,21.0,2.0,58.0,56.0,56.0,100.0,25.0,29.0,66.0,35.0,39.0,49.0,1.94,2.09,1.97,3.14,3.21,3.26,4.42,4.52,4.8,8.2,8.28,7.75,8.16,8.42,8.8,1.87,1.94,2.08,1X8m4,2015-10-05,2001-12-30
46,23f5M,Onder 15,2e meting,169.0,128.5,82.0,87.0,56.5,0.47,22.0,23.0,19.0,74.0,52.0,51.0,113.0,28.0,26.0,49.0,35.0,37.0,83.0,1.84,2.1,2.01,3.61,3.31,3.14,5.04,4.73,4.82,8.71,8.25,8.82,8.76,8.42,8.37,1.9,2.46,2.28,1X8m4,2016-04-05,2001-12-30
47,23f5M,Onder 16,1e meting,169.6,128.9,82.2,87.4,56.3,0.77,25.0,22.0,14.0,63.0,48.0,54.0,95.0,25.0,40.0,72.0,26.0,36.0,52.0,1.76,1.92,1.81,3.24,3.08,3.23,4.89,4.46,4.35,8.59,8.32,7.56,7.94,8.47,9.03,1.93,1.96,2.11,1X8m4,2016-10-05,2001-12-30
48,23f5M,Onder 16,2e meting,170.5,130.3,81.7,88.8,55.7,1.18,25.0,15.0,14.0,40.0,57.0,62.0,96.0,32.0,29.0,42.0,42.0,46.0,31.0,1.88,1.8,1.99,3.32,3.26,3.15,4.21,4.35,4.1,8.25,8.62,9.13,7.86,8.18,8.18,2.2,2.16,2.1,1X8m4,2017-04-05,2001-12-30
49,23f5M,Onder 17,1e meting,172.1,130.8,82.8,89.3,56.2,1.5,24.0,21.0,15.0,62.0,67.0,57.0,111.0,28.0,26.0,61.0,30.0,47.0,74.0,1.72,1.76,1.81,3.33,3.25,3.02,4.44,4.19,4.37,7.98,8.41,8.25,7.69,7.61,7.7,1.96,2.2,2.62,1X8m4,2017-10-05,2001-12-30
50,23f5M,Onder 17,2e meting,173.1,132.4,82.2,90.9,56.7,1.98,23.0,23.0,23.0,53.0,53.0,66.0,102.0,32.0,36.0,64.0,24.0,26.0,58.0,1.97,1.83,1.85,3.14,3.37,3.12,4.69,4.79,4.52,7.68,8.15,8.54,7.83,7.71,7.58,2.36,1.95,2.07,1X8m4,2018-04-05,2001-12-30
51,28Zyi,Onder 13,1e meting,184.0,137.2,88.3,95.7,77.5,0.68,22.0,15.0,15.0,61.0,52.0,54.0,124.0,39.0,23.0,62.0,30.0,31.0,59.0,2.12,1.97,2.46,3.68,3.8,3.3,5.1,5.22,4.99,8.57,8.86,8.54,9.15,9.03,9.49,1.9,1.82,1.64,1X8m4,2013-10-05,2001-07-01
52,28Zyi,Onder 13,2e meting,185.4,138.5,88.4,97.0,81.3,1.15,20.0,23.0,10.0,64.0,54.0,47.0,62.0,30.0,27.0,33.0,23.0,24.0,48.0,2.11,2.07,2.14,3.33,3.61,3.56,4.86,4.76,5.04,8.65,9.0,8.89,8.31,8.83,9.0,1.84,1.82,2.18,1X8m4,2014-04-05,2001-07-01
53,28Zyi,Onder 14,1e meting,187.0,139.2,89.2,97.7,85.2,1.55,18.0,29.0,15.0,43.0,53.0,53.0,99.0,33.0,29.0,59.0,29.0,35.0,68.0,2.07,2.04,1.78,3.19,3.42,3.54,4.42,4.89,4.34,8.61,8.56,9.28,8.08,8.24,9.39,1.94,1.62,1.74,1X8m4,2014-10-05,2001-07-01
54,28Zyi,Onder 14,2e meting,187.5,141.2,87.8,99.7,83.7,2.05,23.0,19.0,15.0,52.0,51.0,52.0,108.0,36.0,23.0,59.0,36.0,36.0,87.0,1.87,2.01,2.08,3.35,3.71,3.22,4.9,4.77,5.05,8.98,8.27,9.09,8.43,8.75,8.28,1.54,1.52,1.84,1X8m4,2015-04-05,2001-07-01
55,28Zyi,Onder 15,1e meting,188.4,141.7,88.2,100.2,83.7,2.39,31.0,22.0,19.0,66.0,69.0,43.0,111.0,35.0,36.0,76.0,30.0,31.0,74.0,1.78,1.7,1.69,3.37,3.36,3.24,4.48,4.5,4.07,8.08,8.36,8.81,8.16,7.84,9.09,1.93,1.66,1.67,1X8m4,2015-10-05,2001-07-01
56,28Zyi,Onder 15,2e meting,189.2,142.4,88.3,100.9,85.5,2.79,22.0,23.0,16.0,64.0,55.0,52.0,85.0,39.0,25.0,55.0,25.0,37.0,56.0,2.31,1.82,1.95,3.51,3.75,3.17,4.67,4.6,4.66,8.05,8.6,8.66,8.46,8.66,7.64,1.93,1.85,1.89,1X8m4,2016-04-05,2001-07-01
57,28Zyi,Onder 16,1e meting,190.8,143.5,88.8,102.0,85.0,3.22,29.0,13.0,16.0,70.0,58.0,60.0,77.0,38.0,28.0,62.0,38.0,39.0,93.0,1.81,1.92,1.6,3.48,3.04,3.09,4.35,4.53,4.06,8.51,8.5,10.48,8.22,7.89,7.94,2.05,2.04,2.41,1X8m4,2016-10-05,2001-07-01
58,28Zyi,Onder 16,2e meting,191.9,144.3,89.1,102.8,83.9,3.6,22.0,17.0,14.0,68.0,49.0,62.0,120.0,27.0,30.0,89.0,35.0,33.0,79.0,1.82,1.94,2.11,3.1,3.31,3.2,4.57,4.65,4.57,8.25,8.39,8.76,8.33,7.69,8.37,2.32,2.13,2.41,1X8m4,2017-04-05,2001-07-01
59,28Zyi,Onder 17,1e meting,192.9,146.1,88.3,104.6,84.0,4.15,19.0,26.0,13.0,64.0,46.0,55.0,124.0,35.0,37.0,70.0,29.0,50.0,84.0,1.74,1.97,1.95,3.11,3.14,2.73,4.41,4.31,4.12,8.28,7.83,8.32,8.44,7.8,8.21,2.18,2.41,2.25,1X8m4,2017-10-05,2001-07-01
60,28Zyi,Onder 17,2e meting,193.2,146.6,88.0,105.1,83.5,4.52,20.0,30.0,8.0,66.0,50.0,64.0,117.0,31.0,40.0,57.0,45.0,43.0,84.0,1.62,1.89,1.86,3.15,3.01,3.01,4.15,4.31,4.12,8.44,8.81,8.17,7.86,8.5,7.63,2.38,2.24,2.25,1X8m4,2018-04-05,2001-07-01
61,2XK7z,Onder 13,1e meting,174.2,129.1,86.6,87.6,69.9,-0.35,19.0,13.0,8.0,65.0,42.0,56.0,116.0,25.0,36.0,49.0,32.0,33.0,43.0,2.08,2.18,2.29,3.65,3.82,3.47,5.09,5.01,5.27,9.16,8.23,9.73,8.34,7.72,8.45,2.09,1.82,1.96,1X8m4,2013-10-05,2001-08-24
62,2XK7z,Onder 13,2e meting,175.8,131.0,86.3,89.5,74.3,0.16,20.0,10.0,14.0,66.0,57.0,50.0,57.0,22.0,30.0,59.0,18.0,21.0,40.0,2.09,1.9,1.82,3.29,3.62,3.59,4.86,4.85,5.21,8.51,8.81,8.72,9.14,8.67,8.18,1.87,1.73,1.67,1X8m4,2014-04-05,2001-08-24
63,2XK7z,Onder 14,1e meting,177.1,131.8,86.8,90.3,76.6,0.53,22.0,25.0,13.0,59.0,51.0,58.0,105.0,24.0,37.0,54.0,30.0,46.0,72.0,2.06,1.92,1.93,3.2,3.58,3.46,5.35,4.68,4.98,8.19,8.88,8.45,8.33,8.89,8.59,2.19,2.08,1.95,1X8m4,2014-10-05,2001-08-24
64,2XK7z,Onder 14,2e meting,177.7,132.2,87.0,90.7,76.1,0.82,31.0,5.0,14.0,62.0,39.0,58.0,102.0,30.0,26.0,48.0,40.0,34.0,69.0,1.91,1.84,1.9,3.39,3.42,3.54,4.98,4.49,5.05,9.18,8.61,7.63,8.65,8.76,9.01,1.89,1.88,2.17,1X8m4,2015-04-05,2001-08-24
65,2XK7z,Onder 15,1e meting,178.7,133.6,86.7,92.1,76.8,1.25,21.0,7.0,11.0,68.0,50.0,52.0,110.0,28.0,31.0,57.0,25.0,32.0,76.0,2.08,1.9,1.88,3.58,3.29,3.01,4.44,4.37,5.05,8.42,8.11,7.15,8.04,8.4,8.88,1.77,2.16,2.13,1X8m4,2015-10-05,2001-08-24
66,2XK7z,Onder 15,2e meting,180.1,134.3,87.3,92.8,77.0,1.6,17.0,21.0,10.0,52.0,55.0,55.0,102.0,28.0,27.0,71.0,29.0,37.0,47.0,2.02,1.83,1.87,3.53,2.82,3.71,4.98,4.57,4.71,8.7,8.3,7.24,8.73,8.35,7.91,1.94,2.04,1.79,1X8m4,2016-04-05,2001-08-24
67,2XK7z,Onder 16,1e meting,181.2,135.3,87.4,93.8,76.2,1.98,25.0,14.0,12.0,55.0,60.0,53.0,109.0,34.0,33.0,53.0,33.0,34.0,64.0,1.95,1.78,1.91,3.17,3.4,3.3,4.81,4.58,4.69,8.14,7.73,8.15,8.55,8.7,6.44,2.02,2.39,1.99,1X8m4,2016-10-05,2001-08-24
68,2XK7z,Onder 16,2e meting,181.6,137.1,86.0,95.6,77.8,2.51,25.0,22.0,12.0,66.0,74.0,47.0,114.0,37.0,32.0,62.0,48.0,34.0,67.0,1.9,1.98,1.81,2.75,3.5,3.55,4.22,4.28,3.08,7.83,7.78,7.55,8.38,7.98,6.52,2.21,1.85,1.91,1X8m4,2017-04-05,2001-08-24
69,2XK7z,Onder 17,1e meting,183.0,137.7,86.8,96.2,77.2,2.86,28.0,10.0,14.0,48.0,60.0,50.0,108.0,33.0,42.0,68.0,39.0,47.0,108.0,2.14,1.86,1.87,3.2,3.23,3.24,4.27,4.43,4.42,8.16,8.11,7.74,8.05,8.24,7.7,2.1,1.71,1.98,1X8m4,2017-10-05,2001-08-24
